iter	Passed	Remaining
838	50609	9711
839	50671	9651
840	50730	9591
841	50791	9530
842	50856	9471
843	50917	9411
844	50977	9350
845	51032	9289
846	51087	9228
847	51132	9165
848	51195	9105
849	51262	9046
850	51321	8985
851	51379	8925
852	51440	8864
853	51500	8804
854	51559	8744
855	51622	8684
856	51681	8623
857	51742	8563
858	51800	8502
859	51859	8442
860	51920	8382
861	51976	8321
862	52035	8260
863	52093	8199
864	52148	8138
865	52214	8079
866	52259	8016
867	52316	7955
868	52375	7895
869	52422	7833
870	52475	7771
871	52532	7711
872	52588	7650
873	52642	7589
874	52693	7527
875	52749	7466
876	52803	7405
877	52872	7346
878	52933	7286
879	52988	7225
880	53050	7165
881	53110	7105
882	53171	7045
883	53231	6985
884	53294	6925
885	53356	6865
886	53403	6803
887	53462	6743
888	53517	6682
889	53577	6621
890	53638	6561
891	53698	6501
892	53748	6440
893	53797	6378
894	53861	6318
895	53919	6258
896	53974	6197
897	54023	6136
898	54080	6075
899	54138	6015
900	54201	5955
901	54256	5894
902	54318	5834
903	54379	5774
904	54439	5714
905	54498	5654
906	54552	5593
907	54607	5532
908	54668	5472
909	54723	5412
910	54785	5352
911	54842	5291
912	54904	5231
913	54955	5170
914	55016	5110
915	55089	5051
916	55149	4991
917	55215	4932
918	55276	4872
919	55335	4811
920	55399	4751
921	55455	4691
922	55514	4631
923	55570	4570
924	55633	4510
925	55689	4450
926	55752	4390
927	55819	4330
928	55882	4270
929	55944	4210
930	55989	4149
931	56051	4089
932	56114	4029
933	56169	3969
934	56231	3909
935	56290	3848
936	56353	3788
937	56411	3728
938	56475	3668
939	56525	3607
940	56589	3548
941	56646	3487
942	56708	3427
943	56764	3367
944	56820	3307
945	56876	3246
946	56945	3187
947	56999	3126
948	57058	3066
949	57122	3006
950	57182	2946
951	57240	2886
952	57298	2825
953	57361	2765
954	57422	2705
955	57481	2645
956	57544	2585
957	57622	2526
958	57679	2465
959	57740	2405
960	57807	2345
961	57868	2285
962	57931	2225
963	57991	2165
964	58039	2105
965	58094	2044
966	58153	1984
967	58215	1924
968	58269	1864
969	58331	1804
970	58393	1743
971	58444	1683
972	58507	1623
973	58568	1563
974	58629	1503
975	58681	1442
976	58743	1382
977	58808	1322
978	58868	1262
979	58930	1202
980	58996	1142
981	59061	1082
982	59118	1022
983	59183	962
984	59245	902
985	59304	842
986	59359	781
987	59417	721
988	59473	661
989	59542	601
990	59603	541
991	59666	481
992	59725	421
993	59789	360
994	59843	300
995	59904	240
996	59963	180
997	60026	120
998	60086	60
999	60147	0
